# fortune data imported by scripts/import-upstream-fortunes.sh
# upstream: fortune-mod 9708
# url: https://www.ibiblio.org/pub/linux/games/amusements/fortune/fortune-mod-9708.tar.gz
# tarball sha256: 1a98a6fd42ef23c8aec9e4a368afb40b6b0ddfb67b5b383ad82a7b78d8e0602a
# imported from: /usr/local/share/games/fortunes
#
# file	records	bytes	sha256
art	461	84061	ee3d611d9cb9e7238e9318824034569010a160953b9b431c0774644f24b4d58b
ascii-art	11	5894	4b42579f9135cbb87706ea2567aa858d2139c6834a450c2cb7c04370dcf8043d
computers	1022	231737	978cde5b62a86a4d3271413065d3e4a1c962b428f656a0589159f15a2f14a617
cookie	1140	245182	96b6fc6dc9b433bf26e96937abee74fb53f140220e99052f13bfa6ba549b0c39
definitions	1106	157088	3f50fb9b056e5c0870d5c23cbd521c352fe5bcd899564b3a4f085e3149d90f68
drugs	209	40926	8d2ae51b51dae3a4c65678e7859eacd9ddf8d715e082da27b1caa4dcb4dbca90
education	204	39264	69a544548ee463a8e47eb302835075a2cf2579a5ba65dadcd783297374e6f567
ethnic	164	34626	9545c87c96a64e4db65b60d2db7b65af033ea81f421d6db238ff2eb0f7e791df
food	199	34383	26c3965cd6c9b5d84be06fb94e56c4743d2f75d030fd44db27a61e48fefc26d9
fortunes	434	24620	264cc9ae5d4a7ce7d625eb3776f9ad89e066207759bcd5d170b6799cc618ca3a
goedel	55	7391	9d447862c803f22cdf7bb26cb70cca1a7f8a2a7992f2793ddcb43cfcf3302ab0
humorists	197	41917	16f6af9d078e342bad878ec2fd4c4e2b389d47531ab12b0d316fa77baf252161
kids	151	28570	3dcda30db905d717cdd151b39e709d480b9d39b8c0c5e1bdfb6d726a3877a4bc
law	203	54600	e65c7217aa914850541ba2654c1279d52f61b415a2ec33b21469b38ac81c96c9
linuxcookie	106	19725	e9b3e0d47e38603491609cddb1c8ac4ea033074d4cb8566d0402a895587861a1
literature	257	49777	b7d0d61ea670b0ba43219a4b5e179fe0343d403362aa112537dd1a183ace5528
love	152	20495	3429a235c25ff7b658e3e9a77229a73ce4b547ca592eaee884be6fd06eed0ac7
magic	30	9819	7c64cad45c0ec4d62ce6fbae5ef47c01514a24b8edd859efe3fe05a1332ac45c
medicine	73	19192	6daf9cd20295f6e3f4a778e19a7fcd71d2feef5f948fad749639c4781df3be4b
men-women	583	101850	8c7d185952153f3dfac680f2d2f81179ec8c85e1868021d109c7cc2db57804d5
miscellaneous	645	46898	3f824171806b7adf3ec917b94787d50df468419e133f0d8baddf17ccac3cb82c
news	54	11330	2c658620811a2e44449f609c26bc06a46200e3fd4fa13534ff0426fc8310bf34
people	1232	150451	5d5db7f781a11e48ab2ed34ec2934e5a349452d5a4bc1f88f5ea3e7984011dd3
pets	52	7014	53890ff15520893ebbf402d92780bf4f1be32c1ed00e96ac4690d8d558fab8b7
platitudes	498	35345	f82406db057567babb51cb2c88d3fec899dae8159f6812bcade194448a0b6a56
politics	693	111952	7043c1512443526a71285ddd33f02ef65cc83c638dfc2cb2bb682ce6ea5861bf
riddles	136	21165	19bad794a6f46a0294f17d9a3916568cd3dd05c9861d11c13ad3b7feb2392878
science	623	129191	eb5cb1756d269c91b305cb87d9ba85b2dc0a0b1bbf611bd3e041c9d774919986
songs-poems	720	233802	a4dbd9ac698a60a3d1c14b020acca2296e207a4232e00555c7f673ea927c972f
sports	148	37322	bb495d35265382a7f4824d2d57efe8b65ccbc9ecd8492008594b49ea60d83065
startrek	226	30003	4ebb173bef2db8da4f7da5317ed3ddd0f6bd4f2b9622c45aa66ac1c28f12028b
translate-me	20	1928	4958f10f6953771ec8cf6e035f31f61f714be3ba265fe3a48a8ef839c3067416
wisdom	403	58845	c6d197e7efe0df1c1f444774ce8584d3ffb673935f960a864e854ae00571fe03
work	631	106970	cc158c0c79b9233ab21aaf2e29b92b2fab8c313af15efa172fd1a4e89c754cf1
zippy	549	38980	4f28901f33463ca5ff017b0d1d6569f1c57ddcfa1ed49e6434929de4a4dec2a4
#
# totals	35 files	13387 records
